,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Value (in EUR),,,Value (in GBP),,,Volume (in kg/l),,,Units,,,,,,,,,,,,
MARKET,CATEGORY,TYPE OF REFORMED MEAT,TYPE OF SAVOURY INGREDIENTS,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,MAT 18 end week42,MAT 19 end week42,MAT20 end week42,,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,BITES,TOFU,0,"184,811","1,068,279",0,"168,197","972,241",0,"16,493","100,335",0,"73,302","445,934",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,BITES,VEGETABLE,"12,949","11,844",0,"11,785","10,779",0,532,639,0,"15,212","18,276",0,,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,BITES,NOT DETERMINED,0,0,"30,427",0,0,"27,691",0,0,"7,871",0,0,"32,795",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,BITES,OTHER,0,0,"23,493",0,0,"21,381",0,0,797,0,0,"26,578",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,OTHER,,"743,267","2,055,499","9,940,925","676,447","1,870,710","9,047,239","101,309","224,541","740,260","286,613","789,458","3,700,703",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,OTHER,OTHER,"313,806","963,521","1,440,513","285,595","876,900","1,311,011","22,398","75,049","89,242","103,983","377,793","599,754",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,OTHER,VEGETABLE,"402,461","647,033","1,368,742","366,280","588,865","1,245,692","77,296","116,378","185,554","173,081","248,717","559,273",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,OTHER,SOYA,"25,576","261,283","5,992,814","23,277","237,794","5,454,061","1,478","15,680","362,606","8,927","97,654","2,150,275",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,OTHER,CHICKPEAS,0,"152,853","198,775",0,"139,111","180,906",0,"15,292","20,867",0,"54,616","74,525",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,OTHER,NOT DETERMINED,0,"25,650","917,403",0,"23,344","834,929",0,"1,867","80,587",0,"9,336","309,995",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,OTHER,TOFU,"1,393","5,142","22,665","1,268","4,680","20,627",135,272,"1,404",611,"1,337","6,875",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,OTHER,QUORN,31,17,14,28,16,13,2,1,1,11,6,5,,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,PIE,,"1,375,931","1,840,439","4,609,264","1,252,235","1,674,984","4,194,893","128,366","181,665","492,632","546,693","815,940","2,684,999",,,,,,,,,,
"GROCERY + IMPULSE (excl. Aldi, Lidl)",FRESH READY MEALS - MEAT SUBS,PIE,QUORN,"1,323,509","910,482","2,523,839","1,204,526","828,630","2,296,946","123,049","84,888","306,929","523,611","368,462","1,693,929",,,,,,,,,,
